Années;Type de collectivité;Pourcentage;Indicateurs;Indicateurs de leffort budgétaire des conseils régionaux;Régions;Pays;Codes régions;Objectifs sur budget ventilé;Valeur;Code anciennes régions;Anciennes régions
2012;Communes et EPCI;0;Budget R&T;;Centre-Val de Loire;;R24;Tous objectifs;4.46;;
2012;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Corse;;R94;Tous objectifs;0.41;;
2012;Collectivités territoriales;0;Budget R&T réalisé dans le cadre du CPER;;Corse;;R94;Tous objectifs;0;;
2012;Collectivités territoriales;1;Budget R&T;;Corse;;R94;Réseaux haut débit (%);31.01;;
2012;Collectivités territoriales;0;Budget R&T;;Île-de-France;;R11;Tous objectifs;180.03;;
2012;Collectivités territoriales;0;Budget R&T;;Corse;;R94;Transferts de technologie;17.1;;
2012;Collectivités territoriales;0;Budget R&T;;Corse;;R94;Aides aux chercheurs;5.81;;
2012;Collectivités territoriales;0;Budget R&T;;Corse;;R94;Budget non ventilé;0;;
2012;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Corse;;R94;Tous objectifs;0;;
2012;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Corse;;R94;Tous objectifs;0;;
2012;Communes et EPCI;0;Budget R&T réalisé dans le cadre du CPER;;Corse;;R94;Tous objectifs;0;;
2012;Collectivités territoriales;0;Budget R&T;;Occitanie;;R76;Culture et information scientifique;1.37;;
2012;Collectivités territoriales;1;Budget R&T;;Occitanie;;R76;Réseaux haut débit (%);2.93;;
2012;Collectivités territoriales;0;Budget R&T;;Occitanie;;R76;Transferts de technologie;11.14;;
2012;Collectivités territoriales;0;Budget R&T;;Occitanie;;R76;Réseaux haut débit;2.03;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Hauts-de-France;;R32;Tous objectifs;11.08;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Occitanie;;R76;Tous objectifs;9.47;;
2012;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Occitanie;;R76;Tous objectifs;3.59;;
2012;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Occitanie;;R76;Tous objectifs;1.07;;
2012;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;;R32;Projets de la recherche publique (%);14.11;;
2012;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;;R32;Aides aux chercheurs (%);15.47;;
2012;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;;R32;Transferts de technologie;23.39;;
2012;Collectivités territoriales;1;Budget R&T;;Hauts-de-France;;R32;Budget non ventilé (%);0;;
2012;Collectivités territoriales;0;Budget R&T;;Hauts-de-France;;R32;Budget non ventilé;0;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Guyane;;R03;Tous objectifs;3.81;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Budget de R&T par habitant des conseils régionaux (en euros);Guadeloupe;;R01;Tous objectifs;3.24;;
2012;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Guyane;;R03;Tous objectifs;74.63;;
2012;Collectivités territoriales;1;Budget R&T;;Guyane;;R03;Projets de la recherche publique (%);4.2;;
2012;Collectivités territoriales;1;Budget R&T;;Guyane;;R03;Opérations immobilières (%);74.63;;
2012;Collectivités territoriales;0;Budget R&T;;Guadeloupe;;R01;Réseaux haut débit;0;;
2012;Collectivités territoriales;0;Budget R&T;;Guyane;;R03;Tous objectifs;5.62;;
2012;Conseils régionaux;0;Budget R&T;;Guadeloupe;;R01;Tous objectifs;1.31;;
2012;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Guadeloupe;;R01;Tous objectifs;0;;
2012;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;Guyane;;R03;Tous objectifs;0;;
2012;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Pays de la Loire;;R52;Tous objectifs;4.62;;
2013;Collectivités territoriales;1;Budget R&T;;Bourgogne - Franche-Comté;;R27;Projets de la recherche publique (%);37.32;;
2013;Conseils régionaux;1;Budget R&T réalisé dans le cadre du CPER;;Nouvelle-Aquitaine;;R75;Tous objectifs;15.37;;
2013;Collectivités territoriales;1;Budget R&T;;Bourgogne - Franche-Comté;;R27;Equipement de laboratoires (%);5.88;;
2013;Collectivités territoriales;0;Budget R&T;;Bourgogne - Franche-Comté;;R27;Opérations immobilières;13.42;;
2013;Collectivités territoriales;1;Budget R&T;;Auvergne - Rhône-Alpes;;R84;Réseaux haut débit (%);3.76;;
2013;Collectivités territoriales;1;Budget R&T;;Auvergne - Rhône-Alpes;;R84;Aides aux chercheurs (%);6.59;;
2013;Collectivités territoriales;0;Budget R&T;;Auvergne - Rhône-Alpes;;R84;Budget non ventilé;0;;
2013;Conseils régionaux;0;Budget R&T;;Nouvelle-Aquitaine;;R75;Tous objectifs;102.84;;
2013;Communes et EPCI;0;Budget R&T;;Auvergne - Rhône-Alpes;;R84;Tous objectifs;41.19;;
2013;Collectivités territoriales;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Bourgogne - Franche-Comté;;R27;Tous objectifs;4.29;;
2013;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Bourgogne - Franche-Comté;;R27;Tous objectifs;1.95;;
2013;Conseils départementaux;1;Budget R&T réalisé dans le cadre du CPER;;Bourgogne - Franche-Comté;;R27;Tous objectifs;56.5;;
2013;Collectivités territoriales;1;Budget R&T;;Centre-Val de Loire;;R24;Opérations immobilières (%);166.84;;
2013;Collectivités territoriales;1;Budget R&T;;Bourgogne - Franche-Comté;;R27;Réseaux haut débit (%);0;;
2013;Collectivités territoriales;0;Budget R&T;;Centre-Val de Loire;;R24;Equipement de laboratoires;7.72;;
2013;Collectivités territoriales;1;Budget R&T;;Bretagne;;R53;Opérations immobilières (%);0;;
2013;Collectivités territoriales;1;Budget R&T;;Bretagne;;R53;Aides aux chercheurs (%);1.13;;
2013;Collectivités territoriales;0;Budget R&T;;Bretagne;;R53;Transferts de technologie;2.28;;
2013;Collectivités territoriales;0;Budget R&T;;Bretagne;;R53;Aides aux chercheurs;0.92;;
2013;Collectivités territoriales;1;Budget R&T;;Martinique;;R02;Transferts de technologie (%);63.36;;
2013;Collectivités territoriales;1;Budget R&T;;Mayotte;;R06;Réseaux haut débit (%);39.92;;
2013;Collectivités territoriales;0;Budget R&T;;Mayotte;;R06;Transferts de technologie;0;;
2013;Collectivités territoriales;0;Budget R&T;;Martinique;;R02;Budget non ventilé;0;;
2013;Conseils régionaux;0;Effort budgétaire des conseils régionaux en direction de la R&T;Part de la R&T dans les dépenses totales des conseils régionaux (en %);Polynésie Française (4);;A41;Tous objectifs;0;;
2013;Collectivités territoriales;0;Budget R&T;;Polynésie Française (4);;A41;Culture et information scientifique;0.11;;
2013;Conseils départementaux;0;Budget R&T réalisé dans le cadre du CPER;;La Réunion;;R04;Tous objectifs;1.16;;
2013;Collectivités territoriales;1;Budget R&T;;Polynésie Française (4);;A41;Aides aux chercheurs (%);6.48;;
2013;Collectivités territoriales;0;Budget R&T;;Nouvelle-Calédonie (5);;A40;Opérations immobilières;1.17;;
2013;Collectivités territoriales;1;Budget R&T;;Polynésie Française (4);;A41;Réseaux haut débit (%);0;;
2013;Communes et EPCI;0;Budget R&T;;Polynésie Française (4);;A41;Tous objectifs;0;;
2013;Communes et EPCI;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;Polynésie Française (4);;A41;Tous objectifs;0;;
2013;Conseils départementaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;La Réunion;;R04;Tous objectifs;0;;
2013;Conseils régionaux;0;Budget R&T réalisé dans le cadre des pôles de compétitivité;;La Réunion;;R04;Tous objectifs;0;;
